#K-Path          Energy     s      p      d    tot
# NKPTS & NBANDS:  19 656
# Band-Index    1
   0.25095    -19.706444  0.000  0.000  0.000  0.001
   0.21045    -19.695403  0.000  0.000  0.001  0.001
   0.21045    -19.695403  0.000  0.000  0.001  0.001
   0.17538    -19.751727  0.000  0.000  0.000  0.000
   0.14030    -19.847434  0.000  0.000  0.000  0.000
   0.10523    -19.883220  0.000  0.000  0.001  0.002
   0.07015    -19.885734  0.001  0.000  0.001  0.002
   0.03508    -19.886306  0.001  0.000  0.000  0.002
   0.00000    -19.885717  0.001  0.000  0.001  0.002
 
# Band-Index   23
   0.00000    -19.777234  0.000  0.000  0.001  0.002
   0.03508    -19.780460  0.000  0.000  0.002  0.002
   0.07015    -19.764170  0.000  0.000  0.001  0.002
   0.10523    -19.707962  0.000  0.000  0.001  0.001
   0.14030    -19.639165  0.000  0.000  0.000  0.001
   0.17538    -19.601485  0.000  0.000  0.001  0.001
   0.21045    -19.580150  0.000  0.000  0.000  0.000
   0.21045    -19.580150  0.000  0.000  0.000  0.000
   0.25095    -19.632272  0.000  0.000  0.000  0.001
   0.29145    -19.651919  0.000  0.001  0.000  0.001
   0.33196    -19.647957  0.000  0.000  0.000  0.001
   0.33196    -19.647957  0.000  0.000  0.000  0.001
   0.36667    -19.658673  0.000  0.000  0.000  0.001
   0.40139    -19.634130  0.000  0.000  0.001  0.001
   0.43610    -19.634506  0.000  0.000  0.000  0.001
   0.47082    -19.714339  0.000  0.000  0.001  0.001
   0.50553    -19.759529  0.000  0.000  0.002  0.002
   0.54025    -19.773118  0.000  0.000  0.002  0.002
   0.57496    -19.777234  0.000  0.000  0.001  0.002
 
# Band-Index   24
   0.57496    -19.605894  0.000  0.000  0.001  0.001
   0.54025    -19.591834  0.000  0.000  0.001  0.001
   0.50553    -19.553566  0.000  0.000  0.000  0.001
   0.47082    -19.512533  0.000  0.000  0.000  0.001
   0.43610    -19.520117  0.000  0.000  0.001  0.001
   0.40139    -19.478136  0.000  0.000  0.000  0.000
   0.36667    -19.550129  0.000  0.000  0.001  0.001
   0.33196    -19.582887  0.000  0.000  0.001  0.001
   0.33196    -19.582887  0.000  0.000  0.001  0.001
   0.29145    -19.567729  0.000  0.000  0.001  0.001
   0.25095    -19.535849  0.000  0.000  0.001  0.001
   0.21045    -19.528009  0.000  0.000  0.000  0.001
   0.21045    -19.528009  0.000  0.000  0.000  0.001
